file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af,note
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,8,80,90,150,83.78378378378379,66.48322147651007,52.0,108.0,924.2117610787715,555.5555555555555,1153.8461538461538,124.36529634966392,11.868425079861792,17.098877788370253,17.15677657759621,26.0,17.56756756756757,1.0,0.6756756756756757,0.0,0.0,,,,,12.131673061320805,11.66320733783831,1.040166114681223,0.9613849037049889,3.3548586767554744,444.517196639485,True,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,9,90,100,153,78.1456953642384,65.73026315789474,59.0,125.0,929.5081161256206,480.0,1016.9491525423729,100.52130763003866,11.147993253167737,14.458435517575683,14.506550244630871,14.0,9.271523178807946,6.0,3.9735099337748347,0.0,0.0,,,,,10.25768004960186,12.033527482183235,0.8524250320439551,1.173123691126465,3.2955620855332093,387.78586571783455,True,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,10,100,110,151,71.81208053691275,66.13333333333334,59.0,127.0,922.832235158178,472.4409448818898,1016.9491525423729,98.1649931861972,10.741418717405994,13.368047650520145,13.413132252192302,14.0,9.395973154362416,4.0,2.684563758389262,0.0,0.0,,,,,9.484516772477166,11.91905213247356,0.7957442141423745,1.256685229031499,3.2573769108645356,355.145896402359,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,11,110,120,154,64.47368421052632,65.06535947712419,55.0,122.0,931.2669709698638,491.8032786885246,1090.909090909091,76.33553044227534,7.965115721409975,9.597491448564211,9.629162220823732,8.0,5.263157894736842,1.0,0.6578947368421052,0.0,0.0,,,,,6.808845903489775,9.015554072367824,0.7552332168200857,1.324094303227957,2.9921859105564,192.84829368412545,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,12,120,130,150,39.86486486486486,66.28859060402685,59.0,125.0,917.6933394884514,480.0,1016.9491525423729,88.7490573565016,9.54101763937034,11.282310957447528,11.320602850822429,12.0,8.108108108108109,2.0,1.3513513513513513,0.0,0.0,,,,,8.0048750429363,10.912616317307519,0.7335431586869309,1.3632463041302665,3.1454034254474204,274.43109310502695,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,13,130,140,151,18.79194630872483,66.22666666666667,60.0,129.0,919.2028195678738,465.1162790697674,1000.0,85.6925649983793,10.425283326532606,13.850108423969276,13.896030854132498,11.0,7.38255033557047,6.0,4.026845637583892,0.0,0.0,,,,,9.82597764853458,10.936120025147211,0.8984884608014635,1.1129803482484202,3.2353590225690163,337.5894861988111,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,14,140,150,150,18.91891891891892,66.69798657718121,57.0,126.0,912.6246044041951,476.1904761904762,1052.6315789473683,89.27887862315482,9.91906756324116,12.545861813707683,12.588373028427851,14.0,9.45945945945946,4.0,2.7027027027027026,0.0,0.0,,,,,8.901323932507168,10.87137838502733,0.8187852190635339,1.2213215098627774,3.1898592004996256,304.010854825007,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,15,150,160,151,22.818791946308725,66.14,61.0,127.0,915.8959361623656,472.4409448818898,983.6065573770492,72.29837479495437,8.139744236867074,9.85192380627072,9.885142124763462,8.0,5.369127516778524,2.0,1.342281879194631,0.0,0.0,,,,,6.98985102941304,9.193308140466755,0.7603194543915458,1.3152366340543806,3.0120597196408276,201.87828640750882,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,16,160,170,149,27.2108843537415,67.30405405405405,62.0,104.0,902.9944480435877,576.9230769230769,967.741935483871,86.39048201960638,9.058884302903135,9.532971783258784,9.565560799347834,12.0,8.16326530612245,0.0,0.0,0.0,0.0,,,,,6.763872907071064,10.926530086604915,0.6190321038298381,1.615425102855221,3.0727976872104805,232.18148109421594,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,17,170,180,151,79.19463087248322,66.07333333333334,50.0,118.0,926.1334921435915,508.47457627118644,1200.0,125.82513303279644,9.83767355776165,16.19242510782382,16.246801300940557,36.0,24.161073825503358,2.0,1.342281879194631,0.0,0.0,,,,,11.488223372485491,7.876981898144078,1.4584549667674456,0.6856570979468937,3.1607327013182456,284.2906597461253,True,
134402-132561-4-LKB1H2B-full dose1E14-4w-s_Export.xls,0,0,10,88,15.11627906976744,114.27586206896552,111.0,116.0,525.1269109759578,517.2413793103449,540.5405405405405,6.610241711851777,1.4280386221440944,2.277289290280861,2.290645940238127,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.6197312776398143,1.2252473995689506,1.3219626323709364,0.7564510338741594,1.5017867407739582,6.234715357796941,False,
134402-132561-4-LKB1H2B-full dose1E14-4w-s_Export.xls,1,10,20,91,30.337078651685395,109.81111111111112,51.0,115.0,559.4251557395455,521.7391304347826,1176.4705882352941,119.86065756607933,12.128427414984571,10.726424370463855,10.764424249246833,3.0,3.3707865168539324,2.0,2.247191011235955,0.0,0.0,,,,,7.611597382211346,14.133004931589133,0.5385689327255819,1.8567725303782643,3.2358303012392238,337.95602338895225,False,
